"";"variable_coded";"variable";"variable_quali";"var_qual_unique";"levels";"number_per_level";"mean_value";"pvalue_vs_ref_class_t_test";"pvalue_ANOVA";"pvalue_ANOVA2";"post_hoc_comp_class";"p_val_Tukey";"median";"p_Kruskal";"non_normal";"effective_less_30";"test";"pval_global_final";"pval_global_clean";"test_clean";"pvalue_vs_ref_class_clean";"p_signif"
"Yes...13";"BRCA_mut";"Pre-NAC str TILs";"BRCA mutation";"";"Yes";"16";"16.9";"0.75";"0.75";"";"";"";"10";"0.823";"non-normal";"effective less 30";"Kruskal";"0.823";"";"";"";""
"Non-palpable";"moddiag";"Pre-NAC str TILs";"diagnostic modality";"diagnostic modality";"Non-palpable";"166";"11.2";"reference class";"0.001";"0.001";"";"";"10";"0.006";"non-normal";"";"Kruskal";"0.006";"0.006";"Kruskal";"";""
"Palpable";"moddiag";"Pre-NAC str TILs";"diagnostic modality";"";"Palpable";"111";"16.4";"0.001";"0.001";"";"";"";"10";"0.006";"non-normal";"";"Kruskal";"0.006";"";"";"";""
"T0 or pTis";"T";"Pre-NAC str TILs";"clinical T stage";"clinical T stage";"T0 or pTis";"105";"11.4";"reference class";"0.114";"0.114";"";"";"10";"0.259";"non-normal";"effective less 30";"Kruskal";"0.259";"0.259";"Kruskal";"";""
"T1";"T";"Pre-NAC str TILs";"clinical T stage";"";"T1";"72";"13.4";"0.295";"0.114";"";"";"";"10";"0.259";"non-normal";"effective less 30";"Kruskal";"0.259";"";"";"";""
"T2";"T";"Pre-NAC str TILs";"clinical T stage";"";"T2";"67";"16.3";"0.014";"0.114";"";"";"";"10";"0.259";"non-normal";"effective less 30";"Kruskal";"0.259";"";"";"";""
"T3";"T";"Pre-NAC str TILs";"clinical T stage";"";"T3";"16";"15.8";"0.192";"0.114";"";"";"";"10";"0.259";"non-normal";"effective less 30";"Kruskal";"0.259";"";"";"";""
"T4";"T";"Pre-NAC str TILs";"clinical T stage";"";"T4";"13";"10.4";"0.779";"0.114";"";"";"";"5";"0.259";"non-normal";"effective less 30";"Kruskal";"0.259";"";"";"";""
"cN0";"N";"Pre-NAC str TILs";"clinical N stage";"clinical N stage";"cN0";"242";"12.5";"reference class";"0.002";"0.002";"";"";"10";"0.114";"non-normal";"";"Kruskal";"0.114";"0.114";"Kruskal";"";""
"cN1/N2/N3";"N";"Pre-NAC str TILs";"clinical N stage";"";"cN1/N2/N3";"34";"19.5";"0.002";"0.002";"";"";"";"15";"0.114";"non-normal";"";"Kruskal";"0.114";"";"";"";""
"pT1";"pT";"Pre-NAC str TILs";"pathological T stage";"pathological T stage";"pT1";"149";"11";"reference class";"0.003";"0.003";"run Tukey manually";"run Tukey manually";"10";"0.081";"non-normal";"effective less 30";"Kruskal";"0.081";"0.081";"Kruskal";"";""
"pT2";"pT";"Pre-NAC str TILs";"pathological T stage";"";"pT2";"49";"18";"<0.01";"0.003";"";"run Tukey manually";"run Tukey manually";"10";"0.081";"non-normal";"effective less 30";"Kruskal";"0.081";"";"";"";""
"pT3";"pT";"Pre-NAC str TILs";"pathological T stage";"";"pT3";"4";"8.7";"0.708";"0.003";"";"run Tukey manually";"run Tukey manually";"7.5";"0.081";"non-normal";"effective less 30";"Kruskal";"0.081";"";"";"";""
"pT4";"pT";"Pre-NAC str TILs";"pathological T stage";"";"pT4";"1";"5";"0.612";"0.003";"";"run Tukey manually";"run Tukey manually";"5";"0.081";"non-normal";"effective less 30";"Kruskal";"0.081";"";"";"";""
"luminal";"subtype";"Pre-NAC str TILs";"BC subtype";"BC subtype";"luminal";"240";"11.8";"reference class";"<0.001";"<0.001";"TNBC-luminal";"0.001";"10";"<0.001";"non-normal";"effective less 30";"Kruskal";"<0.001";"<0.001";"Kruskal";"";""
"TNBC";"subtype";"Pre-NAC str TILs";"BC subtype";"";"TNBC";"17";"22.9";"<0.01";"<0.001";"";"HER2+-luminal";"<0.001";"20";"<0.001";"non-normal";"effective less 30";"Kruskal";"<0.001";"";"";"";""
"HER2+";"subtype";"Pre-NAC str TILs";"BC subtype";"";"HER2+";"16";"23.9";"<0.01";"<0.001";"";"HER2+-TNBC";"0.973";"17.5";"<0.001";"non-normal";"effective less 30";"Kruskal";"<0.001";"";"";"";""
"negative";"er";"Pre-NAC str TILs";"ER status";"ER status";"negative";"20";"21.8";"reference class";"0.002";"0.002";"";"";"20";"0.005";"non-normal";"effective less 30";"Kruskal";"0.005";"0.005";"Kruskal";"";""
"positive";"er";"Pre-NAC str TILs";"ER status";"";"positive";"255";"12.6";"0.002";"0.002";"";"";"";"10";"0.005";"non-normal";"effective less 30";"Kruskal";"0.005";"";"";"";""
"negative1";"pr";"Pre-NAC str TILs";"PR status";"PR status";"negative";"64";"15.2";"reference class";"0.22";"0.22";"";"";"10";"0.677";"non-normal";"";"Kruskal";"0.677";"0.677";"Kruskal";"";""
"positive1";"pr";"Pre-NAC str TILs";"PR status";"";"positive";"192";"12.9";"0.22";"0.22";"";"";"";"10";"0.677";"non-normal";"";"Kruskal";"0.677";"";"";"";""
"negative2";"HR";"Pre-NAC str TILs";"HR status";"HR status";"negative";"18";"22.2";"reference class";"0.002";"0.002";"";"";"20";"0.005";"non-normal";"effective less 30";"Kruskal";"0.005";"0.005";"Kruskal";"";""
"positive2";"HR";"Pre-NAC str TILs";"HR status";"";"positive";"258";"12.7";"0.002";"0.002";"";"";"";"10";"0.005";"non-normal";"effective less 30";"Kruskal";"0.005";"";"";"";""
"negative3";"HER2";"Pre-NAC str TILs";"HER2 status";"HER2 status";"negative";"257";"12.6";"reference class";"<0.001";"<0.001";"";"";"10";"0.001";"non-normal";"effective less 30";"Kruskal";"0.001";"0.001";"Kruskal";"";""
"positive3";"HER2";"Pre-NAC str TILs";"HER2 status";"";"positive";"16";"23.9";"<0.01";"<0.001";"";"";"";"17.5";"0.001";"non-normal";"effective less 30";"Kruskal";"0.001";"";"";"";""
"+";"ROINT";"Pre-NAC str TILs";"intensity of ER positivity";"intensity of ER positivity";"+";"28";"14.9";"reference class";"0.167";"0.167";"";"";"10";"0.291";"non-normal";"effective less 30";"Kruskal";"0.291";"0.291";"Kruskal";"";""
"++";"ROINT";"Pre-NAC str TILs";"intensity of ER positivity";"";"++";"90";"10.9";"0.118";"0.167";"";"";"";"10";"0.291";"non-normal";"effective less 30";"Kruskal";"0.291";"";"";"";""
"+++";"ROINT";"Pre-NAC str TILs";"intensity of ER positivity";"";"+++";"135";"13.4";"0.549";"0.167";"";"";"";"10";"0.291";"non-normal";"effective less 30";"Kruskal";"0.291";"";"";"";""
"+1";"RPINT";"Pre-NAC str TILs";"intensity of PR positivity";"intensity of PR positivity";"+";"40";"14";"reference class";"0.648";"0.648";"";"";"8.5";"0.95";"non-normal";"";"Kruskal";"0.95";"0.95";"Kruskal";"";""
"++1";"RPINT";"Pre-NAC str TILs";"intensity of PR positivity";"";"++";"61";"12";"0.39";"0.648";"";"";"";"10";"0.95";"non-normal";"";"Kruskal";"0.95";"";"";"";""
"+++1";"RPINT";"Pre-NAC str TILs";"intensity of PR positivity";"";"+++";"106";"12.2";"0.403";"0.648";"";"";"";"10";"0.95";"non-normal";"";"Kruskal";"0.95";"";"";"";""
"DCIS";"dcis";"Pre-NAC str TILs";"DCIS component";"DCIS component";"DCIS";"180";"12.4";"reference class";"0.139";"0.139";"";"";"10";"0.687";"non-normal";"";"Kruskal";"0.687";"0.687";"Kruskal";"";""
"No DCIS";"dcis";"Pre-NAC str TILs";"DCIS component";"";"No DCIS";"96";"14.8";"0.139";"0.139";"";"";"";"10";"0.687";"non-normal";"";"Kruskal";"0.687";"";"";"";""
"0";"pnuicc_3cl";"Pre-NAC str TILs";"pN status";"pN status";"0";"146";"11.1";"reference class";"<0.001";"<0.001";"[1-3]-0";"0.58";"10";"<0.001";"non-normal";"effective less 30";"Kruskal";"<0.001";"<0.001";"Kruskal";"";""
"[1-3]";"pnuicc_3cl";"Pre-NAC str TILs";"pN status";"";"[1-3]";"41";"13.1";"0.32";"<0.001";"";"4 and more-0";"<0.001";"10";"<0.001";"non-normal";"effective less 30";"Kruskal";"<0.001";"";"";"";""
"4 and more";"pnuicc_3cl";"Pre-NAC str TILs";"pN status";"";"4 and more";"16";"25.6";"<0.01";"<0.001";"";"4 and more-[1-3]";"0.001";"22.5";"<0.001";"non-normal";"effective less 30";"Kruskal";"<0.001";"";"";"";""
"1";"gradeclasse";"Pre-NAC str TILs";"grade";"grade";"1";"78";"9.1";"reference class";"<0.001";"<0.001";"2-1";"0.203";"10";"<0.001";"non-normal";"";"Kruskal";"<0.001";"<0.001";"Kruskal";"";""
"2";"gradeclasse";"Pre-NAC str TILs";"grade";"";"2";"138";"11.9";"0.088";"<0.001";"";"3-1";"<0.001";"10";"<0.001";"non-normal";"";"Kruskal";"<0.001";"";"";"";""
"3";"gradeclasse";"Pre-NAC str TILs";"grade";"";"3";"58";"22.4";"<0.01";"<0.001";"";"3-2";"<0.001";"17.5";"<0.001";"non-normal";"";"Kruskal";"<0.001";"";"";"";""
"No...52";"embols";"Pre-NAC str TILs";"lymphovascular invasion";"lymphovascular invasion";"No";"156";"11";"reference class";"0.001";"0.001";"";"";"10";"<0.001";"non-normal";"";"Kruskal";"<0.001";"<0.001";"Kruskal";"";""
"Yes...53";"embols";"Pre-NAC str TILs";"lymphovascular invasion";"";"Yes";"40";"17.8";"0.001";"0.001";"";"";"";"15";"<0.001";"non-normal";"";"Kruskal";"<0.001";"";"";"";""
"lobular";"histo_3cl";"Pre-NAC str TILs";"histological type";"histological type";"lobular";"49";"10.3";"reference class";"0.131";"0.131";"";"";"5";"0.021";"non-normal";"effective less 30";"Kruskal";"0.021";"0.021";"Kruskal";"";""
"NST";"histo_3cl";"Pre-NAC str TILs";"histological type";"";"NST";"205";"14.2";"0.055";"0.131";"";"";"";"10";"0.021";"non-normal";"effective less 30";"Kruskal";"0.021";"";"";"";""
"others";"histo_3cl";"Pre-NAC str TILs";"histological type";"";"others";"23";"11.7";"0.66";"0.131";"";"";"";"5";"0.021";"non-normal";"effective less 30";"Kruskal";"0.021";"";"";"";""
"No / NA";"multifocal_bin";"Pre-NAC str TILs";"multifocality";"multifocality";"No / NA";"190";"13.5";"reference class";"0.618";"0.618";"";"";"10";"0.71";"non-normal";"";"Kruskal";"0.71";"0.71";"Kruskal";"";""
"Yes1";"multifocal_bin";"Pre-NAC str TILs";"multifocality";"";"Yes";"87";"12.7";"0.618";"0.618";"";"";"";"10";"0.71";"non-normal";"";"Kruskal";"0.71";"";"";"";""
"No / NA1";"multifocality";"Pre-NAC str TILs";"multifocality";"multifocality";"No / NA";"192";"13.5";"reference class";"0.627";"0.627";"";"";"10";"0.791";"non-normal";"";"Kruskal";"0.791";"0.791";"Kruskal";"";""
"Yes2";"multifocality";"Pre-NAC str TILs";"multifocality";"";"Yes";"85";"12.7";"0.627";"0.627";"";"";"";"10";"0.791";"non-normal";"";"Kruskal";"0.791";"";"";"";""
"No pCR";"pCR";"Pre-NAC str TILs";"pCR status";"pCR status";"No pCR";"62";"13.2";"reference class";"0.005";"0.005";"";"";"10";"0.031";"non-normal";"effective less 30";"Kruskal";"0.031";"0.031";"Kruskal";"";""
"pCR";"pCR";"Pre-NAC str TILs";"pCR status";"";"pCR";"12";"25.2";"0.005";"0.005";"";"";"";"20";"0.031";"non-normal";"effective less 30";"Kruskal";"0.031";"";"";"";""
"pCR1";"rcb_class";"Pre-NAC str TILs";"RCB (class)";"RCB (class)";"pCR";"11";"27";"reference class";"0.001";"0.001";"RCB-II-pCR";"0.001";"25";"0.014";"non-normal";"effective less 30";"Kruskal";"0.014";"0.014";"Kruskal";"";""
"RCB-II";"rcb_class";"Pre-NAC str TILs";"RCB (class)";"";"RCB-II";"42";"11.5";"<0.01";"0.001";"";"RCB-III-pCR";"0.106";"5";"0.014";"non-normal";"effective less 30";"Kruskal";"0.014";"";"";"";""
"RCB-III";"rcb_class";"Pre-NAC str TILs";"RCB (class)";"";"RCB-III";"16";"17.1";"0.043";"0.001";"";"RCB-III-RCB-II";"0.262";"17.5";"0.014";"non-normal";"effective less 30";"Kruskal";"0.014";"";"";"";""
"01";"rcb_class_integer";"Pre-NAC str TILs";"RCB (class)";"RCB (class)";"0";"11";"27";"reference class";"0.001";"0.001";"2-0";"0.001";"25";"0.014";"non-normal";"effective less 30";"Kruskal";"0.014";"0.014";"Kruskal";"";""
"21";"rcb_class_integer";"Pre-NAC str TILs";"RCB (class)";"";"2";"42";"11.5";"<0.01";"0.001";"";"3-0";"0.106";"5";"0.014";"non-normal";"effective less 30";"Kruskal";"0.014";"";"";"";""
"31";"rcb_class_integer";"Pre-NAC str TILs";"RCB (class)";"";"3";"16";"17.1";"0.043";"0.001";"";"3-2";"0.262";"17.5";"0.014";"non-normal";"effective less 30";"Kruskal";"0.014";"";"";"";""
"02";"ypnuicc_3cl";"Pre-NAC str TILs";"post-NAC node (class)";"post-NAC node (class)";"0";"46";"14.7";"reference class";"1";"1";"";"";"10";"0.909";"non-normal";"effective less 30";"Kruskal";"0.909";"0.909";"Kruskal";"";""
"[1-3]1";"ypnuicc_3cl";"Pre-NAC str TILs";"post-NAC node (class)";"";"[1-3]";"18";"14.8";"0.992";"1";"";"";"";"5";"0.909";"non-normal";"effective less 30";"Kruskal";"0.909";"";"";"";""
"4 and more1";"ypnuicc_3cl";"Pre-NAC str TILs";"post-NAC node (class)";"";"4 and more";"6";"14.7";"0.99";"1";"";"";"";"15";"0.909";"non-normal";"effective less 30";"Kruskal";"0.909";"";"";"";""
"no";"embols_post";"Pre-NAC str TILs";"lymphovascular invasion (post-NAC)";"lymphovascular invasion (post-NAC)";"no";"56";"15.7";"reference class";"0.772";"0.772";"";"";"12.5";"0.756";"non-normal";"effective less 30";"Kruskal";"0.756";"0.756";"Kruskal";"";""
"yes";"embols_post";"Pre-NAC str TILs";"lymphovascular invasion (post-NAC)";"";"yes";"12";"14.4";"0.772";"0.772";"";"";"";"5";"0.756";"non-normal";"effective less 30";"Kruskal";"0.756";"";"";"";""
